iteration,instances,attributes,runtime_total,runtime_max,elapsed,eden_count,eden_time,eden_peak,eden_used,old_count,old_time,old_peak,old_used,surv_peak,surv_used,thread_used,iter_mem
100,15120,55,257425408,3817865216,106656,245,728,529530880,34701784,8,301,179354544,72962848,20431096,3364464,105.341418,26734352
200,15120,55,257425408,3817865216,210652,683,2106,529530880,158958344,19,1022,282128808,134239464,20431096,4130696,208.080438,27862672
